id,Store,Date,Sales,Promo,StateHoliday,SchoolHoliday
14929,85,2015-05-01,11360,1,a,0
14930,512,2015-05-01,10534,1,a,0
14931,1097,2015-05-01,17039,1,a,0
14932,1,2015-04-30,6228,1,0,0
14933,9,2015-04-30,9717,1,0,0
14934,11,2015-04-30,9975,1,0,0
14935,12,2015-04-30,11429,1,0,0
14936,14,2015-04-30,8208,1,0,0
14937,18,2015-04-30,9853,1,0,0
14938,21,2015-04-30,8076,1,0,0
14939,24,2015-04-30,16657,1,0,0
14940,25,2015-04-30,18272,1,0,0
14941,38,2015-04-30,8813,1,0,0
14942,41,2015-04-30,8757,1,0,0
14943,43,2015-04-30,8257,1,0,0
14944,55,2015-04-30,7167,1,0,0
14945,56,2015-04-30,11992,1,0,0
14946,60,2015-04-30,11456,1,0,0
14947,68,2015-04-30,10212,1,0,0
14948,75,2015-04-30,8128,1,0,0
14949,78,2015-04-30,5912,1,0,0
14950,84,2015-04-30,17641,1,0,0
14951,85,2015-04-30,9697,1,0,0
14952,91,2015-04-30,7024,1,0,0
14953,95,2015-04-30,10485,1,0,0
14954,98,2015-04-30,8360,1,0,0
14955,101,2015-04-30,12063,1,0,0
14956,111,2015-04-30,10131,1,0,0
14957,113,2015-04-30,7886,1,0,0
14958,115,2015-04-30,9269,1,0,0
14959,120,2015-04-30,10935,1,0,0
14960,121,2015-04-30,6171,1,0,0
14961,128,2015-04-30,10988,1,0,0
14962,133,2015-04-30,9299,1,0,0
14963,134,2015-04-30,5840,1,0,0
14964,138,2015-04-30,10492,1,0,0
14965,142,2015-04-30,5861,1,0,0
14966,145,2015-04-30,12192,1,0,0
14967,148,2015-04-30,11186,1,0,0
14968,152,2015-04-30,7885,1,0,0
14969,155,2015-04-30,9772,1,0,0
14970,156,2015-04-30,10824,1,0,0
14971,157,2015-04-30,12653,1,0,0
14972,158,2015-04-30,12866,1,0,0
14973,159,2015-04-30,10866,1,0,0
14974,161,2015-04-30,10323,1,0,0
14975,163,2015-04-30,9117,1,0,0
14976,164,2015-04-30,9721,1,0,0
14977,168,2015-04-30,10366,1,0,0
14978,173,2015-04-30,12672,1,0,0
14979,175,2015-04-30,8397,1,0,0
14980,180,2015-04-30,12799,1,0,0
14981,186,2015-04-30,5782,1,0,0
14982,187,2015-04-30,9088,1,0,0
14983,195,2015-04-30,14846,1,0,0
14984,196,2015-04-30,8232,1,0,0
14985,204,2015-04-30,7666,1,0,0
14986,205,2015-04-30,10346,1,0,0
14987,213,2015-04-30,12036,1,0,0
14988,216,2015-04-30,11885,1,0,0
14989,218,2015-04-30,7016,1,0,0
14990,219,2015-04-30,4137,1,0,0
14991,220,2015-04-30,6736,1,0,0
14992,221,2015-04-30,9888,1,0,0
14993,227,2015-04-30,8951,1,0,0
14994,231,2015-04-30,9492,1,0,0
14995,234,2015-04-30,16941,1,0,0
14996,237,2015-04-30,6878,1,0,0
14997,238,2015-04-30,12931,1,0,0
14998,249,2015-04-30,8741,1,0,0
14999,253,2015-04-30,9344,1,0,0
15000,257,2015-04-30,7217,1,0,0
15001,260,2015-04-30,7720,1,0,0
15002,261,2015-04-30,17149,1,0,0
15003,273,2015-04-30,11812,1,0,0
15004,278,2015-04-30,10793,1,0,0
15005,281,2015-04-30,8806,1,0,0
15006,284,2015-04-30,6526,1,0,0
15007,285,2015-04-30,7029,1,0,0
15008,288,2015-04-30,8260,1,0,0
15009,289,2015-04-30,8622,1,0,0
15010,291,2015-04-30,10618,1,0,0
15011,292,2015-04-30,8364,1,0,0
15012,295,2015-04-30,7343,1,0,0
15013,296,2015-04-30,9452,1,0,0
15014,297,2015-04-30,9585,1,0,0
15015,310,2015-04-30,14387,1,0,0
15016,313,2015-04-30,11375,1,0,0
15017,316,2015-04-30,14494,1,0,0
15018,319,2015-04-30,10707,1,0,0
15019,320,2015-04-30,21516,1,0,0
15020,324,2015-04-30,8653,1,0,0
15021,332,2015-04-30,5142,1,0,0
15022,339,2015-04-30,5743,1,0,0
15023,341,2015-04-30,9167,1,0,0
15024,342,2015-04-30,13263,1,0,0
15025,346,2015-04-30,10296,1,0,0
15026,351,2015-04-30,10179,1,0,0
15027,352,2015-04-30,9812,1,0,0
15028,354,2015-04-30,11029,1,0,0
15029,357,2015-04-30,12516,1,0,0
15030,359,2015-04-30,10563,1,0,0
15031,366,2015-04-30,10947,1,0,0
15032,372,2015-04-30,13836,1,0,0
15033,374,2015-04-30,10979,1,0,0
15034,377,2015-04-30,13197,1,0,0
15035,381,2015-04-30,13257,1,0,0
15036,391,2015-04-30,10526,1,0,0
15037,397,2015-04-30,9099,1,0,0
15038,399,2015-04-30,7814,1,0,0
15039,410,2015-04-30,10183,1,0,0
15040,421,2015-04-30,12900,1,0,0
15041,435,2015-04-30,3857,1,0,0
15042,444,2015-04-30,12417,1,0,0
15043,447,2015-04-30,6789,1,0,0
15044,456,2015-04-30,7772,1,0,0
15045,460,2015-04-30,6155,1,0,0
15046,461,2015-04-30,6647,1,0,0
15047,466,2015-04-30,10057,1,0,0
15048,469,2015-04-30,18004,1,0,0
15049,470,2015-04-30,14177,1,0,0
15050,471,2015-04-30,10884,1,0,0
